epoch,accuracy,loss,val_accuracy,val_loss
0,0.4205746054649353,1.6244819164276123,0.19031719863414764,2.053889751434326
1,0.5605189800262451,1.2034541368484497,0.4974958300590515,1.4910584688186646
2,0.6266914010047913,1.0491539239883423,0.6176961660385132,1.1195082664489746
3,0.6776645183563232,0.9139437675476074,0.5626043677330017,1.2364239692687988
4,0.696570873260498,0.8528246283531189,0.6210350394248962,1.14609956741333
5,0.7558850646018982,0.7154328227043152,0.5292153358459473,1.700087308883667
6,0.7653383016586304,0.6732856631278992,0.5959933400154114,1.2712112665176392
7,0.7894346714019775,0.6042839288711548,0.7178630828857422,0.8029505014419556
8,0.800000011920929,0.5702908039093018,0.7178630828857422,0.7854784727096558
9,0.8057460784912109,0.5562570691108704,0.7462437152862549,0.7529075145721436
10,0.8079703450202942,0.5351974964141846,0.6811352372169495,0.9964556694030762
11,0.8261353373527527,0.5099685192108154,0.726210355758667,0.8405508399009705
12,0.8333642482757568,0.47701728343963623,0.7562604546546936,0.6854084730148315
13,0.8391103148460388,0.4712981581687927,0.7412353754043579,0.7086309790611267
14,0.8481927514076233,0.4541160464286804,0.7612687945365906,0.6932291984558105
15,0.8467099070549011,0.45393407344818115,0.7662771344184875,0.6819242238998413
16,0.8511584997177124,0.4397622346878052,0.734557569026947,0.7570526003837585
17,0.8467099070549011,0.4355938732624054,0.7662771344184875,0.7033600211143494
18,0.8541241884231567,0.41352030634880066,0.7896494269371033,0.6343035697937012
19,0.8630213141441345,0.4098445773124695,0.7846410870552063,0.6359689831733704
20,0.8619091510772705,0.39801549911499023,0.7813021540641785,0.6488075256347656
21,0.8617238402366638,0.4021243453025818,0.8063439130783081,0.5969923138618469
22,0.8630213141441345,0.3960813283920288,0.8113522529602051,0.5953803062438965
23,0.8624652624130249,0.39728519320487976,0.8013355731964111,0.6164193153381348
24,0.8667284250259399,0.3888232111930847,0.7929883003234863,0.6405595541000366
25,0.8667284250259399,0.3836754262447357,0.8063439130783081,0.598670482635498
26,0.868952751159668,0.38173946738243103,0.8013355731964111,0.5938820838928223
27,0.8670991659164429,0.3807525634765625,0.8046744465827942,0.5854658484458923
28,0.8739573955535889,0.37090864777565,0.8096827864646912,0.5834993124008179
29,0.8748841285705566,0.3758430480957031,0.8096827864646912,0.5823384523391724
