epoch,accuracy,loss,val_accuracy,val_loss
0,0.32808154821395874,1.8364689350128174,0.16861435770988464,2.1712779998779297
1,0.5206672549247742,1.330478549003601,0.4474123418331146,1.5705478191375732
2,0.6116774678230286,1.1040257215499878,0.5091819763183594,1.3805361986160278
3,0.6643187999725342,0.9615840315818787,0.3956594467163086,1.9080344438552856
4,0.7008340954780579,0.8711498975753784,0.6794657707214355,0.9320690035820007
5,0.7234476208686829,0.7969422936439514,0.29716193675994873,4.683935642242432
6,0.732159435749054,0.7661020755767822,0.6994991898536682,0.9981033802032471
7,0.7560704350471497,0.6913314461708069,0.4691151976585388,2.583191156387329
8,0.7768303751945496,0.6448583602905273,0.6577629446983337,1.1181122064590454
9,0.8174235224723816,0.5359807014465332,0.5759599208831787,1.571271538734436
10,0.8350324630737305,0.49604761600494385,0.634390652179718,1.1349689960479736
11,0.8539388179779053,0.4403442144393921,0.731218695640564,0.8562827110290527
12,0.858572781085968,0.4185265600681305,0.7879799604415894,0.6551333069801331
13,0.8706209659576416,0.38724255561828613,0.72120201587677,0.8983174562454224
14,0.8795180916786194,0.36814990639686584,0.7562604546546936,0.771031379699707
15,0.8852641582489014,0.33557596802711487,0.8146911263465881,0.6004810929298401
16,0.8945319652557373,0.31447717547416687,0.8113522529602051,0.6088541150093079
17,0.8984244465827942,0.30795469880104065,0.8146911263465881,0.6015365719795227
18,0.8993512392044067,0.29222986102104187,0.8230383992195129,0.5665809512138367
19,0.9039851427078247,0.2943766117095947,0.8113522529602051,0.5988705158233643
20,0.9115847945213318,0.2843211591243744,0.8013355731964111,0.6112353801727295
21,0.9063948392868042,0.27772846817970276,0.8230383992195129,0.5670146346092224
22,0.9086191058158875,0.276928573846817,0.8196995258331299,0.5747326016426086
23,0.914179801940918,0.2641134560108185,0.826377272605896,0.5612788200378418
24,0.9165894389152527,0.2611256241798401,0.8297162055969238,0.5549731254577637
25,0.9197404980659485,0.25838950276374817,0.8230383992195129,0.5641576647758484
26,0.9134383797645569,0.26324909925460815,0.826377272605896,0.5618892312049866
27,0.9178869128227234,0.25378209352493286,0.8247078657150269,0.5574055314064026
28,0.9143651723861694,0.2607526183128357,0.8297162055969238,0.558019757270813
29,0.9182576537132263,0.25373783707618713,0.8230383992195129,0.5615319013595581
